nprobe_percentage,step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
0.25,81,insert,80.251,-1.0,-1.0,0.0,1.30662
0.25,82,search,12813,0.9348,0.0958508,1507.13,1.30637
0.25,83,insert,26.16,-1.0,-1.0,0.0,1.31236
0.25,84,search,12749,0.93515,0.0951409,1557.52,1.31294
0.25,85,insert,104.126,-1.0,-1.0,0.0,1.3273
0.25,86,search,12794.6,0.93577,0.0946486,1581.83,1.32728
0.25,87,insert,943.232,-1.0,-1.0,0.0,1.51948
0.25,88,search,13387.7,0.94254,0.0876102,10737.1,1.51868
0.25,89,insert,940.714,-1.0,-1.0,0.0,1.6786
0.25,90,search,14735.9,0.94648,0.0836913,12654,1.67838
0.25,91,insert,107.711,-1.0,-1.0,0.0,1.69204
0.25,92,search,16373,0.94667,0.0837738,3753.93,1.69365
0.25,93,insert,727.292,-1.0,-1.0,0.0,1.79968
0.25,94,search,16155.6,0.94789,0.0824523,5176.82,1.79895
0.25,95,insert,49.626,-1.0,-1.0,0.0,1.80558
0.25,96,search,17036.4,0.94816,0.0818819,2363.86,1.80609
0.25,97,insert,27.707,-1.0,-1.0,0.0,1.80978
0.25,98,search,17333.6,0.94819,0.0819383,2091.24,1.80984
0.25,99,insert,18.379,-1.0,-1.0,0.0,1.81137
0.25,100,search,17081.3,0.94821,0.0818611,38.394,1.81137
0.25,101,insert,138.01,-1.0,-1.0,0.0,1.82553
0.25,102,search,17142.3,0.94846,0.0816462,2220.78,1.82553
0.05,2,search,873.849,0.57321,0.215169,0.753,0.0183461
0.05,3,insert,13.361,-1.0,-1.0,0.0,0.0223849
0.05,4,search,856.665,0.58482,0.214377,0.858,0.0223849
0.05,5,insert,35.555,-1.0,-1.0,0.0,0.0328114
0.05,6,search,881.401,0.65013,0.234846,65.997,0.0326074
0.05,7,insert,34.026,-1.0,-1.0,0.0,0.0422023
0.05,8,search,907.831,0.71023,0.206475,92.964,0.0426144
0.05,9,insert,4.286,-1.0,-1.0,0.0,0.0444512
0.05,10,search,918.404,0.71488,0.197403,88.731,0.0441252
0.05,11,insert,11.808,-1.0,-1.0,0.0,0.0491742
0.05,12,search,941.415,0.69284,0.200565,96.829,0.0489449
0.05,13,insert,29.4,-1.0,-1.0,0.0,0.0601796
0.05,14,search,955.218,0.67446,0.204164,115.475,0.060322
0.05,15,insert,27.723,-1.0,-1.0,0.0,0.0691642
0.05,16,search,968.137,0.65255,0.205064,110.948,0.0689296
0.05,17,insert,5.081,-1.0,-1.0,0.0,0.0712339
0.05,18,search,971.999,0.64673,0.209309,95.615,0.0708982
