step_num,step_type,latency_ms,worker_partition_size,worker_scan_time_ms,worker_scan_throughput,worker_result_time_ms,measured_ipc,cache_miss_rate,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
124,search,6593.9,2705.44,2310.93,1.00702,202.617,-nan,-nan,0.91526,0.108757,-1.0,-1.0,162.907,2.18696,1901,4938477
125,insert,62.651,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.409,2.20563,1909,4980492
126,search,6330.79,2689.82,2311.44,1.0071,200.734,-nan,-nan,0.91571,0.108446,-1.0,-1.0,54.755,2.20582,1912,4980492
127,insert,60.052,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.525,2.22659,1921,5030515
128,search,6391.66,2702.06,2393.08,0.950757,206.509,-nan,-nan,0.91624,0.108335,-1.0,-1.0,28.225,2.22664,1922,5030515
129,delete,20.672,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.664,2.22483,1892,5009391
130,search,6173.87,2692.8,2300.12,0.969073,201.703,-nan,-nan,0.91493,0.109158,-1.0,-1.0,23.774,2.22483,1892,5009391
131,delete,5.341,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.556,2.22483,1892,5004093
132,search,6222.88,2691.3,2307.15,0.960291,195.646,-nan,-nan,0.91493,0.109168,-1.0,-1.0,23.669,2.22483,1892,5004093
133,delete,11.638,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.681,2.22483,1892,4991787
134,search,6319.33,2678.55,2284.4,0.944475,192.706,-nan,-nan,0.91479,0.109417,-1.0,-1.0,23.492,2.22483,1892,4991787
135,delete,18.621,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.131,2.22199,1889,4974857
136,search,6267.71,2672.07,2274.59,0.950168,198.137,-nan,-nan,0.91493,0.108993,-1.0,-1.0,23.682,2.22199,1889,4974857
137,delete,3.551,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.043,2.22199,1889,4971386
138,search,6135.45,2670.67,2264.2,0.976552,199.879,-nan,-nan,0.91484,0.109115,-1.0,-1.0,23.131,2.22199,1889,4971386
139,delete,7.075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.73,2.22199,1889,4963487
140,search,6255.36,2665.43,2258.19,0.964832,191.974,-nan,-nan,0.91463,0.10915,-1.0,-1.0,23.403,2.22199,1889,4963487
141,delete,24.72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.937,2.21814,1884,4941830
142,search,6103.91,2654.75,2242.44,0.945736,196.792,-nan,-nan,0.91432,0.109425,-1.0,-1.0,23.241,2.21814,1884,4941830
143,delete,18.434,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.951,2.21346,1881,4925657
144,search,6173.3,2651.79,2235.72,0.956113,192.844,-nan,-nan,0.91449,0.109325,-1.0,-1.0,23.193,2.21346,1881,4925657
145,delete,3.096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.797,2.21243,1879,4922686
146,search,6317.42,2652.15,2256.6,0.974268,191.809,-nan,-nan,0.91429,0.109456,-1.0,-1.0,25.638,2.21243,1879,4922686
147,delete,15.105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.507,2.21243,1879,4913636
148,search,6297.68,2646.02,2245.99,0.981745,195.179,-nan,-nan,0.91421,0.109628,-1.0,-1.0,24.187,2.21243,1879,4913636
149,delete,229.755,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1097.15,2.13431,1791,4717250
150,search,5982.28,2659.84,2148.16,0.994014,194.037,-nan,-nan,0.91348,0.110839,-1.0,-1.0,51.501,2.13472,1795,4717250
151,delete,163.736,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1076.04,2.0627,1707,4560269
152,search,5742.72,2690.29,2078.93,0.98504,182.555,-nan,-nan,0.91203,0.111298,-1.0,-1.0,103.877,2.06456,1716,4560269
153,delete,30.064,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,141.871,2.05314,1702,4521936
154,search,5764.15,2668.31,2082.45,0.989946,187.56,-nan,-nan,0.91109,0.112262,-1.0,-1.0,47.999,2.054,1704,4521936
155,delete,19.888,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.721,2.05131,1702,4502222
156,search,5702.89,2653.95,2046.29,0.985664,176.835,-nan,-nan,0.91109,0.112556,-1.0,-1.0,23.013,2.05131,1702,4502222
157,delete,48.022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,194.882,2.03743,1692,4456039
158,search,5679.42,2638.63,2022.64,0.974714,187.012,-nan,-nan,0.9103,0.113402,-1.0,-1.0,29.164,2.03757,1693,4456039
159,delete,313.229,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1745.53,1.87962,1540,4143922
160,search,5342.63,2727.37,1903.13,0.938314,168.37,-nan,-nan,0.90936,0.114122,-1.0,-1.0,164.018,1.88237,1557,4143922
161,delete,49.433,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.236,1.87788,1554,4101445
162,search,5256.49,2654.68,1869.35,0.949412,164.865,-nan,-nan,0.90946,0.113838,-1.0,-1.0,25.957,1.87797,1555,4101445
163,delete,18.094,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.874,1.87572,1553,4080175
164,search,5241.98,2634.23,1856.13,0.961747,164.409,-nan,-nan,0.90907,0.114248,-1.0,-1.0,20.717,1.87572,1553,4080175
165,delete,33.206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,101.111,1.86841,1548,4047313
166,search,5200.23,2620.48,1828.15,0.969852,161.334,-nan,-nan,0.90907,0.113915,-1.0,-1.0,20.57,1.86841,1548,4047313
167,delete,7.663,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.066,1.86813,1548,4040738
168,search,5154.33,2614.41,1797.74,1.00728,156.924,-nan,-nan,0.90899,0.114089,-1.0,-1.0,21.372,1.86813,1548,4040738
169,delete,19.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.445,1.86351,1543,4022674
170,search,5180.75,2610.95,1824.08,0.989895,162.014,-nan,-nan,0.90917,0.113788,-1.0,-1.0,21.449,1.86351,1543,4022674
171,delete,9.413,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.08,1.86335,1543,4015835
172,search,5137.31,2601.98,1814.88,0.95135,156.338,-nan,-nan,0.90889,0.114082,-1.0,-1.0,32.57,1.86382,1544,4015835
173,delete,35.789,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.193,1.86126,1543,3986424
174,search,5139.56,2573.99,1800.7,0.957831,158.223,-nan,-nan,0.90863,0.114403,-1.0,-1.0,20.414,1.86126,1543,3986424
175,delete,174.245,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,713.485,1.76769,1463,3804693
176,search,4872.68,2601.26,1733.65,0.952756,155.905,-nan,-nan,0.90618,0.115333,-1.0,-1.0,72.885,1.76896,1470,3804693
