step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
356,search,7371.98,0.90964,0.113621,5172.55,3.37221
357,insert,38.819,-1.0,-1.0,0.0,3.37938
358,search,7407.14,0.90948,0.113754,3304.22,3.37986
359,insert,21.129,-1.0,-1.0,0.0,3.38425
360,search,7305.46,0.90918,0.114063,11.087,3.38425
361,insert,130.18,-1.0,-1.0,0.0,3.41329
362,search,7081.85,0.91017,0.113252,3559.47,3.41311
363,insert,31.731,-1.0,-1.0,0.0,3.41948
364,search,7311.31,0.91013,0.113339,3301.06,3.4192
365,insert,124.99,-1.0,-1.0,0.0,3.44465
366,search,7602.32,0.91057,0.11274,3334.48,3.44562
367,insert,60.259,-1.0,-1.0,0.0,3.45981
368,search,7453.81,0.91086,0.112748,3127.46,3.45949
369,insert,159.569,-1.0,-1.0,0.0,3.49044
370,search,7424.27,0.91141,0.11202,3308.41,3.49014
371,insert,24.101,-1.0,-1.0,0.0,3.49414
372,search,7484.45,0.91143,0.112002,3320.36,3.4941
373,insert,115.591,-1.0,-1.0,0.0,3.51237
374,search,7547.67,0.91178,0.111454,3883.23,3.5131
375,insert,70.585,-1.0,-1.0,0.0,3.52665
376,search,7699.95,0.91166,0.111606,3309.3,3.52717
377,insert,110.206,-1.0,-1.0,0.0,3.55181
378,search,7707.21,0.91193,0.111842,4026.41,3.5521
379,insert,12.54,-1.0,-1.0,0.0,3.55435
380,search,7505.7,0.9118,0.11202,3269.23,3.55385
381,insert,40.752,-1.0,-1.0,0.0,3.56187
382,search,7502.26,0.91192,0.111874,11.409,3.56187
383,insert,64.08,-1.0,-1.0,0.0,3.57171
384,search,7497.77,0.9119,0.111979,3355.08,3.57211
385,delete,9.179,-1.0,-1.0,0.0,3.57196
386,search,7533.67,0.91185,0.112102,11.152,3.57196
387,delete,21.734,-1.0,-1.0,0.0,3.57094
388,search,7541.08,0.91201,0.111993,11.156,3.57094
389,delete,18.691,-1.0,-1.0,0.0,3.56969
390,search,7404.64,0.91157,0.112362,11.208,3.56969
391,delete,98.044,-1.0,-1.0,0.0,3.54853
392,search,7607.2,0.91148,0.112744,11.932,3.54853
393,delete,59.058,-1.0,-1.0,0.0,3.54706
394,search,7169.97,0.91133,0.112824,11.633,3.54706
395,delete,33.747,-1.0,-1.0,0.0,3.53993
396,search,7152.63,0.91125,0.112833,11.695,3.53993
397,delete,163.238,-1.0,-1.0,0.0,3.50846
398,search,7473.83,0.9109,0.113162,11.495,3.50846
399,delete,8.314,-1.0,-1.0,0.0,3.50799
400,search,7508.49,0.91088,0.113187,11.934,3.50799
401,delete,24.518,-1.0,-1.0,0.0,3.50527
402,search,7499.29,0.91067,0.113519,11.532,3.50527
403,delete,358.375,-1.0,-1.0,0.0,3.42014
404,search,7377.91,0.91058,0.112975,11.435,3.42014
405,delete,71.045,-1.0,-1.0,0.0,3.41151
406,search,7285.21,0.91202,0.112409,11.447,3.41151
407,delete,125.299,-1.0,-1.0,0.0,3.38258
408,search,7350.46,0.91245,0.111952,11.37,3.38258
409,delete,251.026,-1.0,-1.0,0.0,3.29698
410,search,7210.22,0.91224,0.112039,11.221,3.29698
411,delete,283.096,-1.0,-1.0,0.0,3.22401
412,search,6903.76,0.91102,0.113274,11.73,3.22401
413,delete,33.28,-1.0,-1.0,0.0,3.21697
414,search,6834.86,0.9109,0.113347,11.73,3.21697
415,delete,102.637,-1.0,-1.0,0.0,3.19667
416,search,6803.85,0.91072,0.113424,11.585,3.19667
